# psilink OS-layer package attribution: the FIPS variant image
#
# Every package installed in the built image, with the version and the
# license string the image's own package manager declares. Generated by
# scripts/generate-os-package-attribution.mjs, which is what to edit and
# re-run; nothing reads a hand edit made here. It accompanies NOTICE,
# which covers this repository's npm tree and no OS package.
#
# image: the FIPS variant image, built from Dockerfile.fips
# base pin: amazonlinux:2023@sha256:181f98c48832fe926f8ca3b6ffeafcce128e96e77b93d08fbe9a9bc9403ce284
# query: rpm -qa --qf "%{NAME}\t%|EPOCH?{%{EPOCH}}:{0}|\t%{VERSION}\t%{RELEASE}\t%{ARCH}\t%{LICENSE}\n"
# architectures:
#   linux/amd64 and linux/arm64 were built and queried on 2026-09-11 and
#   agree on every package's name, version and license, so one list holds
#   for both. The drift check on .github/workflows/image_smoke.yaml
#   compares linux/amd64 only, that job building no other architecture.
# license field: the string the package manager declares, not an audit of
#   the package's contents. A disjunctive expression is recorded as
#   declared and resolved nowhere. See docs/spec/CONTAINER_IMAGES.md,
#   Measured inventories.
#
# package	version	license
libgcc	0:14.2.1-7.amzn2023.0.2	GPL-3.0-or-later AND LGPL-3.0-or-later AND (GPL-3.0-or-later WITH GCC-exception-3.1) AND (GPL-3.0-or-later WITH Texinfo-exception) AND (LGPL-2.1-or-later WITH GCC-exception-2.0) AND (GPL-2.0-or-later WITH GCC-exception-2.0) AND (GPL-2.0-or-later WITH GNU-compiler-exception) AND BSL-1.0 AND GFDL-1.3-or-later AND Linux-man-pages-copyleft-2-para AND SunPro AND BSD-1-Clause AND BSD-2-Clause AND BSD-2-Clause-Views AND BSD-3-Clause AND BSD-4-Clause AND BSD-Source-Code AND Zlib AND MIT AND Apache-2.0 AND (Apache-2.0 WITH LLVM-Exception) AND ZPL-2.1 AND ISC AND LicenseRef-Fedora-Public-Domain AND HP-1986 AND curl AND Martin-Birgmeier AND HPND-Markus-Kuhn AND dtoa AND SMLNJ AND AMD-newlib AND OAR AND HPND-merchantability-variant AND HPND-Intel
libgcrypt	0:1.10.2-1.amzn2023.0.3	LGPLv2+
libgomp	0:14.2.1-7.amzn2023.0.2	GPL-3.0-or-later AND LGPL-3.0-or-later AND (GPL-3.0-or-later WITH GCC-exception-3.1) AND (GPL-3.0-or-later WITH Texinfo-exception) AND (LGPL-2.1-or-later WITH GCC-exception-2.0) AND (GPL-2.0-or-later WITH GCC-exception-2.0) AND (GPL-2.0-or-later WITH GNU-compiler-exception) AND BSL-1.0 AND GFDL-1.3-or-later AND Linux-man-pages-copyleft-2-para AND SunPro AND BSD-1-Clause AND BSD-2-Clause AND BSD-2-Clause-Views AND BSD-3-Clause AND BSD-4-Clause AND BSD-Source-Code AND Zlib AND MIT AND Apache-2.0 AND (Apache-2.0 WITH LLVM-Exception) AND ZPL-2.1 AND ISC AND LicenseRef-Fedora-Public-Domain AND HP-1986 AND curl AND Martin-Birgmeier AND HPND-Markus-Kuhn AND dtoa AND SMLNJ AND AMD-newlib AND OAR AND HPND-merchantability-variant AND HPND-Intel
libgpg-error	0:1.42-1.amzn2023.0.2	LGPLv2+
libicu	0:67.1-7.amzn2023.0.4	MIT and UCD and Public Domain
libidn2	0:2.3.2-1.amzn2023.0.5	(GPLv2+ or LGPLv3+) and GPLv3+
libldb	0:2.6.2-1.amzn2023.0.2	LGPLv3+
libmodulemd	0:2.13.0-2.amzn2023.0.2	MIT
libmount	0:2.37.4-1.amzn2023.0.6	LGPLv2+
libnghttp2	0:1.59.0-3.amzn2023.0.2	MIT
libpsl	0:0.21.5-1.amzn2023.0.1	MIT
libpwquality	0:1.4.4-6.amzn2023.0.2	BSD or GPLv2+
librepo	0:1.14.5-2.amzn2023.0.2	LGPLv2+
libreport-filesystem	0:2.15.2-2.amzn2023.0.2	GPLv2+
libseccomp	0:2.5.3-1.amzn2023.0.2	LGPLv2
libselinux	0:3.4-5.amzn2023.0.2	Public Domain
libsemanage	0:3.4-5.amzn2023.0.2	LGPLv2+
libsepol	0:3.4-3.amzn2023.0.3	LGPLv2+
libsigsegv	0:2.13-2.amzn2023.0.2	GPLv2+
libsmartcols	0:2.37.4-1.amzn2023.0.6	LGPLv2+
libsmbclient	2:4.17.12-1.amzn2023.0.5	GPL-3.0-or-later AND LGPL-3.0-or-later
libsolv	0:0.7.22-1.amzn2023.0.4	BSD
libstdc++	0:14.2.1-7.amzn2023.0.2	GPL-3.0-or-later AND LGPL-3.0-or-later AND (GPL-3.0-or-later WITH GCC-exception-3.1) AND (GPL-3.0-or-later WITH Texinfo-exception) AND (LGPL-2.1-or-later WITH GCC-exception-2.0) AND (GPL-2.0-or-later WITH GCC-exception-2.0) AND (GPL-2.0-or-later WITH GNU-compiler-exception) AND BSL-1.0 AND GFDL-1.3-or-later AND Linux-man-pages-copyleft-2-para AND SunPro AND BSD-1-Clause AND BSD-2-Clause AND BSD-2-Clause-Views AND BSD-3-Clause AND BSD-4-Clause AND BSD-Source-Code AND Zlib AND MIT AND Apache-2.0 AND (Apache-2.0 WITH LLVM-Exception) AND ZPL-2.1 AND ISC AND LicenseRef-Fedora-Public-Domain AND HP-1986 AND curl AND Martin-Birgmeier AND HPND-Markus-Kuhn AND dtoa AND SMLNJ AND AMD-newlib AND OAR AND HPND-merchantability-variant AND HPND-Intel
libtalloc	0:2.3.4-1.amzn2023.0.2	LGPLv3+
libtasn1	0:4.19.0-1.amzn2023.0.6	GPLv3+ and LGPLv2+
libtdb	0:1.4.7-1.amzn2023.0.2	LGPLv3+
libtevent	0:0.13.0-1.amzn2023.0.2	LGPLv3+
libtirpc	0:1.3.3-0.amzn2023	SISSL and BSD
libunistring	0:0.9.10-10.amzn2023.0.2	GPLV2+ or LGPLv3+
libutempter	0:1.2.1-4.amzn2023.0.2	LGPLv2+
libuuid	0:2.37.4-1.amzn2023.0.6	BSD
libverto	0:0.3.2-1.amzn2023.0.2	MIT
libwbclient	2:4.17.12-1.amzn2023.0.5	GPL-3.0-or-later AND LGPL-3.0-or-later
libxcrypt	0:4.4.33-7.amzn2023	LGPL-2.1-or-later AND BSD-3-Clause AND BSD-2-Clause AND BSD-2-Clause-FreeBSD AND 0BSD AND CC0-1.0 AND LicenseRef-Fedora-Public-Domain
libxkbcommon	0:1.6.0-2.amzn2023.0.1	MIT AND X11 AND MIT-CMU
libxml2	0:2.10.4-1.amzn2023.0.20	MIT
libyaml	0:0.2.5-5.amzn2023.0.2	MIT
libzstd	0:1.5.5-1.amzn2023.0.1	BSD and GPLv2
lmdb-libs	0:0.9.29-1.amzn2023.0.3	OpenLDAP
logrotate	0:3.20.1-2.amzn2023.0.3	GPLv2+
lua-libs	0:5.4.4-3.amzn2023.0.2	MIT
lz4-libs	0:1.9.4-1.amzn2023.0.3	GPLv2+ and BSD
mpfr	0:4.1.0-7.amzn2023.0.2	LGPLv3+
ncurses-base	0:6.6-1.amzn2023.0.1	MIT-open-group
ncurses-libs	0:6.6-1.amzn2023.0.1	MIT-open-group
nettle	0:3.10.1-1.amzn2023.0.1	LGPLv3+ or GPLv2+
npth	0:1.6-6.amzn2023.0.2	LGPLv2+
openldap	0:2.4.57-6.amzn2023.0.7	OpenLDAP
openssl	1:3.5.7-2.amzn2023.0.1	ASL 2.0
openssl-fips-provider-certified	0:3.2.2-1.amzn2023	ASL 2.0
openssl-fips-provider-certified-so	0:3.2.2-1.amzn2023	ASL 2.0
openssl-libs	1:3.5.7-2.amzn2023.0.1	ASL 2.0
p11-kit	0:0.24.1-2.amzn2023.0.3	BSD
p11-kit-trust	0:0.24.1-2.amzn2023.0.3	BSD
pam	0:1.5.1-8.amzn2023.0.8	BSD and GPLv2+
pcre2	0:10.40-1.amzn2023.0.3	BSD
pcre2-syntax	0:10.40-1.amzn2023.0.3	BSD
popt	0:1.18-6.amzn2023.0.2	MIT
publicsuffix-list-dafsa	0:20260116-1.amzn2023.0.1	MPL-2.0
python3	0:3.9.25-1.amzn2023.0.9	Python
python3-dnf	0:4.14.0-1.amzn2023.0.7	GPLv2+
python3-gpg	0:1.23.2-182.amzn2023.0.1	LGPL-2.1-or-later AND MIT
python3-hawkey	0:0.69.0-8.amzn2023.0.8	LGPLv2+
python3-libcomps	0:0.1.20-1.amzn2023	GPL-2.0-or-later
python3-libdnf	0:0.69.0-8.amzn2023.0.8	LGPLv2+
python3-libs	0:3.9.25-1.amzn2023.0.9	Python
python3-pip-wheel	0:21.3.1-2.amzn2023.0.20	MIT and Python and ASL 2.0 and BSD and ISC and LGPLv2 and MPLv2.0 and (ASL 2.0 or BSD)
python3-rpm	0:4.16.1.3-29.amzn2023.0.7	GPLv2+
python3-setuptools-wheel	0:59.6.0-2.amzn2023.0.6	MIT and (BSD or ASL 2.0)
qrencode-libs	0:4.1.1-2.amzn2023.0.2	LGPLv2+
readline	0:8.1-2.amzn2023.0.2	GPLv3+
rpm	0:4.16.1.3-29.amzn2023.0.7	GPLv2+
rpm-build-libs	0:4.16.1.3-29.amzn2023.0.7	GPLv2+ and LGPLv2+ with exceptions
rpm-libs	0:4.16.1.3-29.amzn2023.0.7	GPLv2+ and LGPLv2+ with exceptions
rpm-sign-libs	0:4.16.1.3-29.amzn2023.0.7	GPLv2+ and LGPLv2+ with exceptions
samba-client	2:4.17.12-1.amzn2023.0.5	GPL-3.0-or-later AND LGPL-3.0-or-later
samba-client-libs	2:4.17.12-1.amzn2023.0.5	GPL-3.0-or-later AND LGPL-3.0-or-later
samba-common	2:4.17.12-1.amzn2023.0.5	GPL-3.0-or-later AND LGPL-3.0-or-later
samba-common-libs	2:4.17.12-1.amzn2023.0.5	GPL-3.0-or-later AND LGPL-3.0-or-later
sed	0:4.8-7.amzn2023.0.2	GPLv3+
setup	0:2.13.7-3.amzn2023.0.2	Public Domain
shadow-utils	2:4.9-12.amzn2023.0.4	BSD and GPLv2+
sqlite-libs	0:3.40.0-1.amzn2023.0.8	Public Domain
system-release	0:2023.12.20260817-0.amzn2023	MIT
systemd	0:252.23-12.amzn2023	LGPLv2+ and MIT and GPLv2+
systemd-libs	0:252.23-12.amzn2023	LGPLv2+ and MIT
systemd-networkd	0:252.23-12.amzn2023	LGPLv2+
systemd-pam	0:252.23-12.amzn2023	LGPLv2+ and MIT and GPLv2+
systemd-resolved	0:252.23-12.amzn2023	LGPLv2+ and MIT and GPLv2+
tar	2:1.34-1.amzn2023.0.4	GPLv3+
tzdata	0:2026c-1.amzn2023.0.1	LicenseRef-Fedora-Public-Domain AND (GPL-2.0-only WITH ClassPath-exception-2.0)
util-linux	0:2.37.4-1.amzn2023.0.6	GPLv2 and GPLv2+ and LGPLv2+ and BSD with advertising and Public Domain
util-linux-core	0:2.37.4-1.amzn2023.0.6	GPLv2 and GPLv2+ and LGPLv2+ and BSD with advertising and Public Domain
xkeyboard-config	0:2.41-1.amzn2023.0.1	HPND AND HPND-sell-variant AND X11 AND X11-distribute-modifications-variant AND MIT AND MIT-open-group AND xkeyboard-config-Zinoviev
xz	0:5.2.5-9.amzn2023.0.2	GPLv2+ and Public Domain
xz-libs	0:5.2.5-9.amzn2023.0.2	Public Domain
yum	0:4.14.0-1.amzn2023.0.7	GPLv2+
zlib	0:1.2.11-33.amzn2023.0.6	zlib and Boost
